year	rank	votes	artist	song	filename	source	lyrics	language
1994	23		Beep Shop Boys	Kuul	lyrics-beep_shop_boys-kuul	1	Kallis nääri... jõulmees Palun too mulle... Kätte jõudmas aasta uus Kõigil pastakas on suus Paberile kirja read Tempel, mark kõik nii kuis peab Päkapikud kirja saavad üli väga tigedad nad Miks nii hila kulla mees Otsa meil said BMW'd Nukud, suusad, supikulp Pardel, kell ja higipulk Teflonpann ei ole hea kui riiulilt ta tabab pead Kõiks saab kotti, kõik mis passib Vana laiali kõik tassib Aga miks küll tasuta Aru päkapikk ei saa [x4] la-la-lalla, la-la-lalla la-la-lall, la-la-lall la-la-lalla Kõik on rõõmsad, kõik on head Rasvarida rinna peal Küünlasäras heledas President on telekas Kõlab kaksteist kella pauku Šhampus kaob kui muti auku Vastu taevast käib saluut Kosmonautki naerab kuul cool, cool Kosmonaut on kuul, kuul Päkapikk on kuul, kuul Kingitus on kuul, kuul Kõik on kuul, kuul Kõik on kuul, kuul Kosmonaut on kuul, kuul Vanagi on kuul, kuul Kuul, kuul Kõik on kuul, kuul	et
1994	24		Allan Roosileht	Turvamees	lyrics-allan_roosileht-turvamees	1	Oma lahkeid taevasiniseid silmi pean ma varjama mustade päikseprillide taha Mitte, et ma midagi kardaks, vaid et mind õigesti mõistetaks Päike on erakordselt ere Minu elu möödub rahulikult ja turvaliselt Vahel tuleb tundide kaupa mõne prominendi või vasevaguni kõrval seista. Harva õhtupimeduses võib end vabamalt tunda ja mõnele napsutanud tulinorijale pasunassse anda Kuid selle kõige juures tuleb jääda soliidseks, vaoshoituks, rahulikuks Sest mina olengi... Turvamees Vabaduse puiesteelt Pisikese maja ees seisab BMW Turvamees - must ülikond ja lips on ees, Raha eest teeb tegusid mees Ühel õhtul veeres väravasse päratu must Ameerika limusiin Uks avanes ja sellest libisesid tavasillutisele kõrgetel kontsadel päevitanud pikad sääred Peagi seisis auto kõrval silmipimestavalt kaunis miniseelikus blondiin Siis kõlas esimene lask Tulistati avatud autoaknast Algas lahing, katsin pea kätega, järsku kõik vaibus Minu kõrval seisis mingi mees, Tõstsin silmad, loojuva päikese helk pimestas, Kuid ma tundsin oma ammuse rivaali ära See oli... Turvamees Linnakivi puiesteelt Viiekordse maja ees seisab Citroen Turvaemees - must ülikond ja lips on ees Raha eest teeb tegusid mees Hull aeg nõuab segaseid inimesi Meie palatis on 2 kuningat, keiser, 3 peaministrit, mõned presidendid ja üks kindral Piimasupi lauas mõtlen käeraudadele, mis ma karusmarja põõsa alla maasse kaevasin Oma eelnevast elust ei tule paljutki enam meelde, Kuid ma tunnen, et ühel heal paeval kaevan ma väärt instrumendi välja Südames on mingi eriline aimus, justkui mind oleks tagasi valitud Oleksin justkui... Turvamees Vabaduse puiesteelt Pisikese maja ees seisab BMW Turvamees - must ülikond ja lips on ees, Raha eest teeb tegusid mees naa na naa daa daa daa .. dadadada dadada Turvamees	et
1994	25		D.J. X & Vello Orumets	Miniseelik	lyrics-vello_orumets-miniseelik	1	Oi miniseelik, mini-mini seelik. Oi ülemeelik tänapäeva mood. On nooruslik, on justkui koolieelik, sellepärast südames nii kummalised lood Nii kaua Annest külmalt mööda läksin, ent küll ta on mind püüdnud võluda. Ning alles eile kõik see muutus äkki, kui uues kleidis tööle tuli ta. Oi miniseelik, mini-mini seelik. Oi ülemeelik tänapäeva mood. On nooruslik, on justkui koolieelik, sellepärast südames nii kummalised lood Ma käisin korda kolm ta laua juures ja pidin korda kolm ma ohkama. Ta üllatusest tegi silmad suured, kui kutsusin ta õhtuks kohtama. Oi miniseelik, mini-mini seelik. Oi ülemeelik tänapäeva mood. On nooruslik, on justkui koolieelik, sellepärast südames nii kummalised lood	et
1994	26		Pearu Paulus ja Evelin Samuel	Kallim Kullast	lyrics-2_quick_start-_kallim_kullast	1	Ei julge öelda ma mil kinkida saan sul marmorist palee hinnalist pärlikeed soovida on lootusetu veel Tead ju su embuses ma uinun vaid sinu suudlus päikse toob hinges on suurim soov kõikjal olla koos mu armas Küllaga kulda kusagil ootab leidmata jääda võib see ei tea, mis ootab ees armastus meile kullast on kallim veel Tead ju, et see mis ees meid ootab kord pole rooside allee olgu kui raskel teel hea on minna koos mu armas Chorus: Küllaga kulda kusagil ootab leidmata jääda võib see ei tea, mis ootab ees armastus meile kõigest on kallim Küllaga kulda kusagil ootab leidmata jääda võib see ei tea, mis ootab ees armastus meile kullast on kallim veel Chorus	et
1994	27		Evelin Samuel	Vari Ja Roos	""			
1994	28		Jam	Petlik On Õnn	lyrics-jam-petlik_onn	1	Kus oled nüüd sa, mis sinust on saand? Ühine tee, mida mööda sai käidud, tolmuks on saand. Kas näha sind saan kunagi veel? Rõõm ja õnn, mis meile said osaks, petlikuks jäid. Ükskõik, kuhu läen või mida ma teen, sinu nägu ja silmi nii rõõmsaid oma kujutlusis näen. Sa oled nii hea, nii lahke ja hell, sest sinu hingesoojust vajab süda nii habras ja hell. Mida vajan ma veel, kallis, kas sind kohtan eluteel? Sa oled nii noor, minu lootus ja õnn. Ma tahaksin olla su juures ja aidata sind. Olid ainus mul sa, sinust mõtlen nüüd ma. Kas oli see õige, et äkki mu juurest ära läksid sa? Mida vajan ma veel, kallis, läksid lahku meie teed. Kus oled nüüd sa, mis sinust on saand? Ühine tee, mida mööda sai käidud, tolmuks on saand. Nii petlik on õnn, nii petlik on õnn. Rõõm ja õnn, mis meile said osaks, petlikuks jäid. Nii petlik on õnn ...	et
1994	29		Jam	Öised Teed	""			
1994	30		Jam	Ootan Tuult	lyrics-jam-ootan_tuult	1	Ootan tuult, olen laev, kes on eksinud teelt vale suund Ootan tuult, kes ehk rääkida oskab mu keelt on mul tuul Ootan tuul Ootan tuult, olen laev, kes on eksinud teelt vale suund Ootan tuult, kes ehk rääkida oskab mu keelt on mul tuul Pole viita teel, mille suunda ma oma samme nüüd aina seaks Ainult tuul vastab hüüdele ääretul veel tardunud Tuule häält aina kuulan ja kuulama pean iga päev Pole kõrvu mul kõigiks juttudeks Kõrkushuultele pett on neid Mu sõbraks vaid tuul, ootan tuult Üks küsimus suul, mul vastab tuul Ma usaldan tuult, mil vaibub tuul Ma kuulen ta häält Ootan tuult ... Pole kõrvu mul ... Mu sõbraks vaid ...	et
1994	31		Beep Shop Boys	Hakkaböö	lyrics-beep_shop_boys-hakaboo	1	[x3]Kuusi tuleb Kui lõppemas on ära järjekordne päev Hakaböö, hakaböö, Hakkab-hakkab-hakkab öö Kuu siis tuleb, kuu siis tuleb Kuu siis tuleb taevasse ja särab nagu juust Hakkab tantsupidu vali Kõlab lust ja naer ja nali Kõikjal palju noori koos [x3]Mõnu-mõmu-mõnu tantsuhoos ai-ai ämmale ma luban, et ei korduks vanad vembud Mõnus sälg, kena jalg Mõnus jah, kena palg Anna andeks kallis Uuno Ma pold täna sinu tald Sorri vaan, sorri vaan, küll sa kuskilt ikka saad Täna tantsib hoopis minuga üks turske afrikaan Afrikaan, na na naan, Täna neegri mina saan Neeger tantsib nagu loom pärast kohvi mulle toob Lõbusama tuju loob Sukamütsi talle koon Higi haiseb Pidu Ega Uunogi ei jää ilma Mitu totsi jäävad silma Täitsa pohhui kellga Veeta mõus tantsu öö Enim meeldib siiski vist üks Mongoolia turist Neiu kellel nimeks Nellikim Ja kellel suured tissid Kissis silmad, Kiss my lips Mongo väga mõnus tips Lahe liha tantsu kütkes Soundi tuleb, action käib Paremat mis veel võib tahta Tantsida on pappa-pappa Kõigil naeratus on suul purr-purr-pruu teeb kõhutuul Vastik	et
1994	32		Kuldne Trio	Vana roosa	""			
1994	33		Tõnis Mägi	Püha Elmo tuled	lyrics-tonis_magi-puha_elmo_tuled	1	Kes korjas sõnad sinu suult koidutuul räsis pilvevaipa ma seisin, hammustades huult kus sa jäid - ma ei taipa Ma sinu sünnimärke tean veresooni ja tedretäppe kas kõik nad siis unustama pean sest ei saa sind ma kätte Kui armastad, siis armasta kuid olen pannud tähele et virvatuli väreleb ning eal ei lähene, ei eal Jutt hõbe on, vaikimine kuld laevamastil või kellatornis kus märkad sa püha Elmo tuld kodutee leiad siis tormis :,: Kui armastad, siis armasta kuid olen pannud tähele et virvatuli väreleb ning eal ei lähene, ei eal ta lähene :,: Kui märkad püha Elmo tuld siis kodutee ees seisab ju sul Kui armastad, siis armasta kuid jäägu meie vahele et leek mis jääb sust järele see eal ei jahene, ei eal ta jahene	et
